frame,right_knee_angle,left_knee_angle,right_hip_x,right_hip_y,right_shoulder_x,right_shoulder_y,right_knee_filtered,left_knee_filtered
80,151.42078222592707,146.95125580374705,530.8969879150391,352.90390491485596,575.919303894043,262.3103642463684,7.053620161247626,6.845416629214096
81,163.4647233240112,163.46983737376692,532.7097320556641,361.2190532684326,575.3446197509766,268.7987995147705,41.345745046737385,40.35033416329064
82,161.15139179380756,150.01084508524607,524.3900680541992,364.66687202453613,560.7838821411133,272.89092779159546,107.82726739864592,105.42310792745717
83,177.97098709357672,166.46242764028614,522.39501953125,364.2007255554199,553.583869934082,274.0333557128906,169.72595336551169,165.04117298485798
84,166.41655078336848,178.60399722144913,536.9087982177734,363.78406047821045,578.0867385864258,274.29447412490845,190.22950190290447,183.1270811289562
85,170.1999233454629,175.78236252330643,556.6422653198242,363.5077714920044,600.4624176025391,269.66732025146484,178.14148207490783,172.60180419909466
86,138.7802043558237,129.08241831758593,560.9896087646484,351.49334192276,591.6866302490234,268.4353280067444,163.0887296705959,164.13370921311366
87,149.31844461567795,122.23922180020132,567.4610137939453,342.0090079307556,588.2770538330078,266.0824942588806,155.7412256498179,159.39567064917944
88,142.92378764706797,121.54158335711537,572.449951171875,342.54995584487915,589.7838592529297,263.7705159187317,150.4553126287895,144.66046968989718
89,50.39413841533803,9.766926947118085,579.8679351806641,331.67754650115967,591.1344146728516,254.51886892318726,140.69701338186744,119.04544569570442
90,37.98091905165036,34.08954990115387,581.8524932861328,326.8220829963684,593.599739074707,252.13234663009644,116.6638147717354,85.08155737006196
91,162.0934379903617,164.2603667306228,602.489013671875,306.09931468963623,628.7775421142578,249.0448021888733,80.66481168666022,52.29348147209355
92,177.35444663931747,173.54718120088486,607.3133087158203,296.73293352127075,616.999626159668,234.37992095947266,70.05726974211343,56.13537093065926
93,176.51489630496923,178.99518992887442,615.266227722168,290.2860188484192,626.1791229248047,232.1649956703186,113.01369467929837,113.69430736923783
94,168.29691056546173,175.68860375041285,615.408935546875,290.8549475669861,622.9524612426758,231.24117851257324,174.2443230859143,179.976547596232
95,173.32909005041267,178.56302968126664,623.4450149536133,292.13367462158203,629.9794387817383,231.47794246673584,199.16318750846438,203.20073265826633
96,175.06261749415185,177.00051224844984,626.5478515625,292.22710132598877,632.4650192260742,232.05873727798462,184.45914965877645,187.67903231344346
97,179.80975893311137,177.72209436200342,631.672248840332,291.76754236221313,638.634033203125,233.02377462387085,166.2866966883929,170.30570609624496
98,179.93853164552084,179.3242345861845,638.0251312255859,291.41945600509644,646.8348693847656,233.37246179580688,166.71030598195455,169.6726140828511
99,178.50910510437413,173.77540505551158,639.4404983520508,291.7074179649353,646.6007995605469,233.76369953155518,177.80353403967834,177.54052269873074
100,175.3431923897691,177.3970791071669,642.6875305175781,290.6630301475525,649.0655517578125,233.55515241622925,183.902114950575,181.06252361293568
101,178.94626400195966,175.67212531320416,645.1611328125,291.4164090156555,650.4282379150391,233.4528636932373,181.1768867854658,178.25040741462894
102,179.88987352620157,178.30383703285025,650.6330108642578,291.25079870224,655.8396911621094,232.95114040374756,176.48240840515075,174.96666143880202
103,179.37689868492387,176.28368827604453,652.5401306152344,291.09244108200073,656.0449981689453,233.0627417564392,175.94640423411357,175.04754789172574
104,178.0495698375873,177.5073133328028,656.3711547851562,290.6129479408264,661.0019683837891,233.14623355865479,178.66803803806565,176.98733530953677
105,178.83033103481546,178.09492593514645,659.8715972900391,290.5319881439209,664.8880767822266,233.18799018859863,180.37493726044906,178.03503398039825
106,179.44188261347168,178.59045710810847,663.33984375,288.8484835624695,668.409423828125,232.30088710784912,179.65407584985869,177.86984835551777
107,177.01013354722429,179.80532220863205,667.5209808349609,289.12837743759155,673.8394927978516,232.35841512680054,178.39063399434306,177.82721762487847
108,175.9366662119818,177.3565114860613,670.8980560302734,289.0260887145996,677.8819274902344,232.4571418762207,177.87396870531865,178.4564494708165
109,176.13564903090437,177.7220509556722,673.1391143798828,289.23296213150024,680.5524444580078,232.48872756958008,177.42580902147472,178.93582027647744
110,178.3255155578216,177.9709758644721,675.6943511962891,289.3610429763794,681.5009307861328,232.7759599685669,176.63197005872644,178.52477929944334
111,175.7777356302908,178.74675501664677,680.1887512207031,289.4295573234558,686.4463806152344,232.90977001190186,176.2911973662992,177.77856266637227
112,178.3863577030969,175.53130405250388,683.1427001953125,288.67323875427246,689.0953063964844,232.65987396240234,176.74408649471843,177.56144675669805
113,177.59675808366825,177.14989135499275,686.6518402099609,288.74855518341064,692.3181915283203,232.69875526428223,177.3529895713012,177.56602448055827
114,177.77694213876717,175.4614083862235,690.1834106445312,288.8389992713928,695.7277679443359,232.6505184173584,177.7005611847223,177.07368038553975
115,174.30671625691772,172.1031856165922,691.5359497070312,288.8803696632385,700.2959442138672,232.6221513748169,177.66996529224403,176.08665637540733
116,176.664296971743,177.3896835764217,697.3049163818359,290.8182764053345,702.5332641601562,232.63309478759766,176.99524736971287,174.9572681907713
117,179.44412959726301,177.44068914038687,702.6947784423828,292.95855045318604,708.0100250244141,232.75156259536743,176.12916910981053,174.46464087810554
118,177.91841549551847,175.5678493148462,705.1352691650391,292.8193974494934,709.7258758544922,232.44139194488525,176.36216654368727,175.3772694039636
119,178.31869427127512,174.898134570576,707.7610015869141,292.62829542160034,712.5419616699219,231.62361860275269,177.79992638543393,176.71211942419535
121,156.87996858033864,141.1901749681479,257.1416664123535,345.9075880050659,227.59639739990234,300.46332836151123,177.9053354457989,175.11686295947757
122,166.8378158561256,162.5454583669628,261.43787384033203,340.39863109588623,249.41452026367188,287.52480268478394,173.5050114455463,167.32325899415937
123,170.6053590319699,156.09276435327592,258.187198638916,341.20649099349976,247.7271270751953,290.0089144706726,166.28989788532,156.574275890336
124,174.8117082578604,156.19131247120058,257.06573486328125,339.3422269821167,241.8890380859375,286.5259909629822,163.320152773729,151.5943529196694
125,176.07738348749277,158.50661227330303,259.60906982421875,341.3123846054077,255.61628341674805,286.22787952423096,167.84918173212887,154.36465658716452
126,168.60833402074354,156.7110437307485,259.39306259155273,341.855092048645,248.32439422607422,285.25659799575806,174.45463039107753,158.35645998820817
127,160.87056542809182,164.44446750968984,266.492919921875,344.96930837631226,264.957332611084,286.45960092544556,175.77675257546804,159.39929153438482
128,172.47979104321786,171.08266231067984,265.398006439209,345.00258922576904,264.40099716186523,287.1156692504883,170.6792032042902,159.84095658106864
129,177.0582671983995,159.27845099423664,256.6939353942871,348.1099820137024,245.9048843383789,287.1871876716614,165.74466211222594,162.74483017178983
130,176.75726740953692,160.69210636435724,255.3078269958496,348.0215120315552,239.53807830810547,287.5336217880249,167.68829750181825,165.86493573048347
131,174.65596391931663,164.5830240245805,254.30316925048828,348.38775157928467,238.65228652954102,287.6287865638733,174.52118806741552,165.12241928527197
132,175.8623770992344,164.23207010432878,252.77477264404297,347.2471261024475,234.32575225830078,287.23623991012573,178.77007700076365,162.15075477079955
133,172.0933946702428,162.6867761718974,253.6393165588379,345.06131887435913,234.23080444335938,287.3389792442322,177.5696783233361,161.47768917431088
134,169.84685433603727,160.10850490656048,253.8185691833496,343.33178758621216,234.1750717163086,287.2510886192322,174.05605963221893,163.02706405196187
135,171.22859891556598,157.85441679503364,252.1915054321289,343.2601833343506,233.19551467895508,286.86240434646606,171.41394175439254,163.274541014706
136,167.77111260592974,159.79694055777094,251.36425018310547,344.3320369720459,232.71968841552734,288.0368685722351,170.21190217769225,161.02667507209148
137,168.46700008198914,166.97771995049715,251.5534210205078,347.9001474380493,233.5611343383789,288.0416536331177,169.6428779459308,158.9177015779711
138,178.15770905737045,178.95471225693672,255.81295013427734,349.21249866485596,253.4543800354004,288.0495071411133,169.40592444412817,160.69407526948387
139,177.77462265175996,178.19265014084777,266.6432189941406,349.2071557044983,270.7542419433594,286.957311630249,170.8699883932856,167.55949556772404
140,179.0607582338666,175.66519928792098,257.6729202270508,352.9582142829895,246.04421615600586,288.21908712387085,174.77407150452962,175.91975795107973
141,171.25492908608362,175.1696547664477,254.89269256591797,353.2049775123596,244.66327667236328,291.07553243637085,178.41281671656927,180.0371325375301
142,167.6180147954332,171.62048202876687,255.17719268798828,352.6948642730713,247.57585525512695,292.2307062149048,177.99417586751636,178.22499999522057
143,165.43217765016118,166.1289811646904,264.2337417602539,352.4020743370056,266.2953567504883,291.12430572509766,173.12217379915538,173.76637183477527
144,163.78228757235635,175.27766903352767,267.81185150146484,352.50356912612915,272.6481628417969,291.0901880264282,167.24837848666965,170.21272982203521
145,159.76282828869978,175.953090359013,266.6244125366211,352.3492670059204,264.368953704834,291.4928197860718,163.63440669649745,169.52705712407382
146,165.0767301961844,179.30803929593773,268.8641357421875,351.6935634613037,272.71615982055664,290.53844690322876,162.38533993978825,172.29789183782955
147,166.00988737879524,173.25568171937095,268.09452056884766,347.7133798599243,271.26867294311523,287.8072500228882,162.4405528368178,176.39717093832994
