frame,right_knee_angle
0,173.16737426751214
1,177.4538743064066
2,179.32328813090956
3,176.29054586349906
4,167.4028491566591
5,158.06723038981536
6,152.8228846348196
7,161.6441785938888
8,153.8366079264944
9,168.0613897211499
10,162.27387594947453
11,170.61910210143407
12,158.59805051246067
13,155.90475633143248
14,176.06547531972421
15,154.08551973013655
16,158.09072229594912
17,162.8245381650562
18,173.31650528706135
20,178.73004004072538
21,164.02562307726348
31,171.7238901292516
33,0.211558584989349
53,179.12139591188935
54,174.55751611581982
55,177.65711777206917
57,169.963417146338
58,179.4578566113615
59,177.86692288265277
60,177.2669393243899
61,160.62164574192676
62,124.6309781369404
63,169.157591300288
64,169.98170696267204
66,168.80291391645625
68,166.8952114260941
69,178.25993662441368
70,179.23495385793268
71,179.31206498546354
72,175.20725448796333
73,173.9610776188466
74,177.03835169164873
75,178.9864434995161
76,177.7280766399158
77,172.32374899192823
78,179.45407813726217
79,178.75529998285376
80,176.72383291029666
82,174.93707961772608
83,179.61893191743988
85,170.9790204688154
93,168.29265202581985
94,171.99879348101007
96,160.3347036675429
97,173.27138402999822
98,163.09874783705766
99,146.17394762237961
100,169.52199291333986
102,173.17377624402644
129,156.71309571479418
130,157.66665769265597
131,174.61029302392575
132,170.37694542509126
135,175.84292326020292
137,159.4427002522682
139,144.82084775220267
140,141.5760096604165
141,124.45934208545279
142,150.39649037085545
143,141.31697265789865
144,131.0670945505642
145,132.88482612890883
146,155.81079169605653
147,168.24168905109536
148,177.2879659147389
150,179.97279258423396
151,175.45922539991227
152,179.6292297851124
153,179.01022652736833
154,178.1013383566018
155,163.00977265776893
156,178.6363437782875
158,169.21792439270303
159,179.08397843790726
160,179.66232732238197
161,178.3891218794147
162,178.25997480797636
163,176.25036218360313
164,179.18320402169059
165,177.2353719652462
167,162.67905052253548
168,178.1321857669847
170,178.4334627355797
172,172.84588182046295
173,168.25402082741778
175,176.0549172584358
178,179.0401084146182
180,176.33488756358014
182,173.02964172924894
183,174.0365630616707
184,162.00499097897338
185,178.0525511003679
189,145.27587690357663
190,179.01478289211866
192,147.01208394264643
193,119.57064251556415
194,152.20057447242266
195,106.5042924663509
198,171.86254202223654
203,177.0760865745564
204,174.6602454242056
205,175.8522213298999
206,172.74001119953323
207,173.6361773210792
208,174.64683068382283
209,174.00797122575122
210,174.90921162202025
211,174.61610940603364
212,175.88009837649219
213,175.216373873644
214,176.06403169192166
215,176.90462936448262
216,131.99388246254304
217,175.58391878921495
222,167.93427857442668
223,149.66944228761233
224,151.62565759848457
225,171.0981085836408
226,164.1003309521798
227,167.83831046534647
228,168.5027551298328
229,177.44376932708516
230,171.03890079086645
231,176.3632208455499
232,171.60373962276387
233,178.17859076799652
234,178.08562127890195
235,178.93411936173595
236,179.0364943719393
237,175.16642299344335
238,169.7347850196502
239,170.14284465331335
240,168.07157666126477
241,120.32944888618397
242,93.40403085218539
243,108.62683525718447
244,170.2938184121856
245,177.32288480293002
246,168.31622744506674
247,173.73186131207035
248,174.28770830116719
249,172.24716170097943
250,172.80174735550332
251,173.86166367107666
252,172.60645634205764
253,173.59588565809187
254,175.74975518913405
255,174.40978710939183
256,174.56563215488373
257,173.16258417348658
258,172.85754349214253
259,172.1346750399878
260,173.2643532716262
261,173.5522368124207
262,175.06871430753077
263,178.61784475350268
264,178.65086206836696
265,176.69292073368362
266,175.42656831757395
267,175.21676155445476
268,175.8827850823165
269,175.1179672260643
270,172.838125146287
271,174.4587097084344
272,172.08051556572312
273,172.98454869927295
274,176.7389624544258
275,178.0980202714824
276,175.72808030602025
277,179.89959656710258
278,176.830682887251
279,177.53865562116957
280,175.89473227191684
281,179.4408813302552
282,174.95018139411198
283,160.60540014686748
284,144.8077252066346
285,132.36389262123856
286,116.88093423354545
287,136.68645860676173
288,164.2363269314428
289,173.69921030432374
290,174.53622957611768
291,176.31601710608044
292,175.70060386466656
293,178.81042400447978
294,179.00602321738637
295,174.34020045391424
296,174.47999585308028
297,177.84762423483696
298,168.87820601571968
299,164.7288168885697
302,157.82855953725272
307,175.8024091967413
308,176.38518164342568
314,133.93712760460585
319,173.44667067147878
320,174.68414557338596
323,151.19512061855048
324,170.6176960943184
325,163.94861319844262
328,169.7588176176156
329,155.01934475741658
330,168.16072799766383
331,170.30270526754848
332,157.44773410691647
333,169.55580884246393
334,166.63320472348346
335,173.4029647902007
336,163.97497995793623
337,153.70341650500538
338,155.3789610303133
339,144.47329574920403
340,146.84114213635698
341,150.62851051300873
342,149.14320020489427
343,151.46835510926516
344,113.20812314314986
345,147.69118551368703
346,150.68431507988302
347,149.94745923640033
348,152.3472803717308
349,156.11295337130002
350,157.00457172839918
351,162.03536432688983
352,168.81481505003083
353,171.33340549568538
354,134.32691024085875
355,138.79452824344816
356,151.51424030167735
357,144.26364049889557
358,146.01110695916267
359,152.47677593164454
360,162.3388534241407
361,162.5669545572406
362,163.21856685313776
363,150.02654415260838
364,165.44058012774013
365,169.91169786634777
366,171.86996257084613
367,175.17490228525574
368,176.312241387977
369,175.3299074450324
370,174.8511560922307
371,172.73194490355604
372,174.5417521191015
373,175.89255286122702
374,177.48463523361983
375,177.45737184449317
376,169.82610430931013
377,177.15266566444058
378,174.3122842419165
379,176.35617473873197
380,171.10523021744743
381,173.1713508361949
382,175.66074023001232
383,174.20690479899264
384,171.82379301956902
385,164.63630978375448
386,174.61998542584993
387,178.99600158912196
388,179.80305422076742
389,178.6847371652281
390,157.21164339524313
391,175.45062368573323
392,178.10311623107668
393,172.6882977372153
394,178.78150818707857
396,169.86743819253624
397,176.2461582226608
398,168.88809841386382
399,166.99143820342624
400,165.61228661669296
401,170.55975481514056
402,166.9947078764947
406,156.86546581801198
409,140.18567653509768
410,174.50726804386343
411,150.83093746971412
412,160.06146326740972
413,144.95620880634442
414,171.94477080329577
415,179.8399520179877
416,179.08073940551265
417,176.06598435610158
418,170.6105678230828
419,157.34618618767652
421,159.69381418648558
422,172.13473949226923
423,167.24678338464938
424,165.32251476296113
425,155.86909248213976
426,160.8878852908652
427,174.4390690450545
428,177.24611886017627
429,176.65411602844566
430,173.72318598383404
431,177.64076756360646
432,67.88195920015765
433,168.9800376517305
435,172.7773059420515
436,166.43157646128694
437,151.63576432889573
439,157.0679470413183
441,152.74236642428926
442,143.0215811067903
443,164.65408779257132
444,161.23898903215868
445,165.41928847204042
446,173.889666455862
447,174.62018624331083
448,172.9046546107911
449,170.51637087382457
450,165.89013624226007
451,161.86722285351536
452,156.6069551734884
453,146.38257855983647
454,153.05283796694587
455,158.96934198135835
456,155.94740003611187
457,157.05791172339
458,167.29008758302766
459,166.68301162140156
460,160.59946536427418
461,174.0262296808024
465,149.2797740002338
466,155.3184274580834
467,159.30372862640147
468,170.50187261043564
469,151.50234617808823
470,159.75776182506078
471,155.35473508557965
472,145.54720584533388
473,133.54997272871773
474,164.24617406243624
475,163.216276419004
476,167.1182826993711
477,170.43937916688006
478,178.64983465702102
479,173.54483539575776
480,168.03390992409956
481,164.70195011624776
482,162.80532919741344
483,149.10405335746526
484,154.34911049915553
485,149.67159431275726
486,151.24499933869433
487,161.3906363982963
488,161.4055468310518
489,170.14738442872752
490,156.84886219935402
491,169.38478331434828
492,179.7496903089019
493,168.3817766234554
494,154.70571768475776
495,163.50756986672465
497,177.7697732963341
498,157.34717978646353
517,174.87273119473772
520,178.71205212492288
521,175.8052134146653
522,174.18037541516287
523,179.08568910957567
524,176.11146630532278
525,177.4753056195644
526,175.88827144842264
527,177.54668437430266
528,174.80456071737473
529,176.48733949545633
532,178.35229871365692
533,174.37840311091387
534,177.88959721492526
535,161.78961639493485
537,174.7044848163612
538,178.3572900245336
539,174.0957448938345
541,158.0032587450287
542,167.8394104212232
543,137.57618916329156
544,155.26335305596376
546,175.25766494454342
547,174.18128736234377
548,178.5382107615144
551,163.37624692606815
552,168.68447976417906
553,178.85252872822886
555,177.8836688634139
556,173.81030682098802
557,177.17214218212854
558,179.1708422890448
559,178.7846844981676
560,179.03628090739298
561,167.22972793416318
562,178.5252211199867
563,175.95824814021523
564,173.2211084920909
565,177.04605557049265
566,177.258641659889
567,176.09361597258817
568,179.97678626101734
569,179.94250349854642
570,179.36695983962258
571,177.99962939085543
572,177.82340533630565
573,179.18787178844389
574,176.33510037041998
575,172.34151788745766
576,179.70601792099256
577,173.96902470095236
578,179.091958150531
579,174.96842181242383
580,176.4714893424401
581,179.5794698826273
582,177.08494630752548
583,171.696282504944
584,178.8789964197428
585,178.13248340682128
586,178.74843946631435
587,178.63726803984557
588,176.41412454854844
589,179.89849264885765
590,179.61043992071467
591,175.9306191338086
592,179.63307257937433
593,171.85537584189228
594,173.86133203638457
595,179.47179547284384
596,178.84686990076716
597,174.88443814820587
598,179.29945954790182
599,177.66897555601707
600,176.76882945350616
601,179.98695891550054
602,174.6114175023412
603,175.0713396604535
604,178.74275247832355
605,170.0077484273079
606,166.1867987332344
607,171.66021337837245
608,170.3636195466427
609,157.16348114584437
610,99.00202049153887
611,177.82814563523226
612,178.28040135374195
613,147.10917550180193
614,154.49407564106804
615,163.9972297872219
616,143.9737695144951
617,162.9827972342812
618,173.07699468452068
619,174.8301368984496
620,170.24800613010734
621,167.94435326091258
623,164.28601887290526
624,166.5331126881516
625,159.50715939332704
630,156.22843955279066
633,85.31405858088884
634,166.34684480518388
639,164.720384754355
640,177.66571378780122
642,177.73174455934134
643,171.56093998955248
644,172.81403272016314
645,173.35087236677805
646,161.9243680527174
651,165.91799570283968
652,160.63747833939493
653,167.0765769045124
654,177.20825330449895
656,168.31678715679305
657,176.11616316630432
658,175.42333443199908
659,174.5221573637597
660,172.31243513417857
661,168.4565838806741
662,174.97998657241223
663,167.0912698335163
664,170.38941371873256
665,174.14486062731518
666,177.31820550868457
667,178.74148191220291
668,179.4537207942202
669,169.74804668435505
670,163.40865493068904
671,168.44972716635556
672,179.77569879863884
673,171.54466151280369
674,160.78873016196127
675,148.36132043856168
676,176.8626279122686
677,89.84779189613954
678,92.84424117645491
679,156.73821933143515
680,176.66077178348488
681,177.80462320317142
682,179.94244728796235
683,178.01487082214155
684,176.16824956051673
685,179.61574687499186
686,176.017673375387
687,179.40956974334702
688,176.60432016510532
689,178.20545664255678
690,177.4924740254704
691,179.13014695052928
692,178.74926152848985
693,178.14515199856024
694,177.71879318163016
695,176.9694708922452
696,178.00279226267108
697,177.45437316326573
698,178.6270919241777
699,178.26245408406945
700,174.81342659530702
701,174.10532783814654
702,177.61288475783516
703,177.03798130132773
704,178.0867156871711
705,174.76946836113532
706,177.59735360707927
707,171.36661975754723
708,179.10252491598786
709,176.91934848478863
710,177.60955332234025
711,177.21677085197257
712,178.18713216951198
713,175.37654214645542
714,174.21120868357357
715,177.0561783682843
716,175.2958763202164
717,165.09080088081953
718,154.7094354747851
719,116.57369730573805
720,83.3916620270455
721,36.32409503788776
722,177.32323853146863
723,123.61993657313559
724,152.92230979433927
725,150.024347459018
726,177.3905312742285
727,174.7049348726499
728,173.31215184838985
729,173.3839863258818
730,176.31571692267204
731,175.06141523685994
732,177.00707069995292
733,177.31315176720864
734,177.47771667731035
735,178.49254184761804
736,178.13152417006208
737,176.8976117102265
738,177.04579252411963
739,178.766197431628
740,178.95647067702672
741,179.6459634749847
742,178.66681090061
743,174.67461767438476
744,173.37500509574926
745,172.84849977609008
746,172.28372258267945
747,173.88972174496953
748,175.34258108294668
749,174.3623393682752
750,175.6867385781703
751,172.66106027239235
752,173.88312025469907
753,171.2399387834682
754,173.60088518046467
755,175.90294187380547
756,177.6245570340597
757,177.4955881570631
758,176.46920964781026
759,175.07421311270707
760,178.76035362699974
761,173.7883912727996
762,164.71141085603784
763,136.8119680491993
764,114.17804207835047
765,65.13564201324891
766,59.10641407055605
767,42.35191437352689
768,68.71431880070199
769,145.74809054364127
770,178.2477636512498
771,176.703060671228
772,173.48533945772263
773,176.21839478320223
774,174.75180087477224
775,174.20595675472163
776,175.56424803562277
777,177.78489614658932
778,178.58670193780276
779,179.11737127313526
780,170.31909399383622
783,178.6407945799384
784,178.6747150142284
785,179.23146604611742
787,179.73780399042067
788,155.00227462644796
793,179.61782095081068
801,135.16337284367916
810,168.32283913046263
817,144.25373927371027
818,176.93036542143685
819,151.79143660444535
820,147.82907760489618
821,133.56302643721838
824,117.92873714472134
829,171.1386299129738
830,128.90867071769114
831,177.055028797313
832,177.12938683633936
833,151.2629728849726
834,148.2526371204828
835,146.03605603608784
836,112.73839823959207
837,148.81984624508286
838,146.00595573056623
839,175.42285253410472
840,138.60912364942143
841,147.07533239434923
842,149.09773017268918
843,129.97349726667986
844,151.2867522801512
845,157.34400031068984
846,159.38905630698798
847,166.5862341304563
