frame,right_knee_angle
24,168.18753142823536
39,171.50319817746075
40,166.8836558135926
41,177.77216544594836
42,178.2690189212116
43,179.86679577781192
44,177.1701867093043
45,177.56672367404678
46,177.96433367592127
47,178.21631313118027
48,175.1657061105545
49,176.54236469555835
50,177.33340028752087
51,176.37712570707066
52,164.42417598429176
53,177.19327600320707
54,179.04312785332294
55,175.35806877808724
56,176.32280464866247
57,178.66990402882922
59,179.529220241835
60,173.87460501219002
61,176.90473822131233
64,168.51835873760004
77,159.47062274503244
78,154.38300527168295
79,171.77543262597052
82,175.35384715056873
83,136.7757839172631
84,99.51252214982908
87,168.90431734894688
89,173.63972254810753
91,155.89033413444454
93,144.52504483066792
94,173.23458260288922
95,174.73497701712847
96,168.1860742672384
97,167.7300372773584
98,176.64016118266036
99,179.13660160542943
100,176.12600562687493
102,169.73211807602863
103,179.45259512639555
104,176.52700338394285
105,171.32551848506782
108,173.57655557755731
109,169.45533192170143
110,169.38832900686765
111,174.50477782581578
112,173.37253861265796
113,179.65068791662716
114,178.29357256330385
115,179.26630183316965
116,179.3229979752448
117,176.5440153138458
118,173.21666077298406
119,160.29201555095872
120,145.81615368179368
121,138.7017260064907
122,128.16029033478785
123,124.23135579727824
124,130.8179622022376
125,142.50782434975724
126,147.2105730179284
127,152.73119098058353
128,170.6331353130805
129,172.80687193155168
130,174.37955620815606
131,179.4103993479655
132,179.5143212211532
133,178.0260972689991
134,177.19793835884875
135,177.81632356830235
136,179.61830754093953
137,178.92364777101608
138,179.25601552885797
139,179.56154084746
141,179.0231844517447
142,179.0451480854457
143,179.4365193469522
144,178.96885920651053
145,179.16522334875134
146,174.80704405128654
147,176.48559417103496
148,178.16401898600682
150,179.63324126196136
151,179.61697590980972
152,179.05308529749814
153,179.12161248565954
154,179.06996676119059
155,179.76994485348632
156,179.71459829225114
157,178.441297449881
158,177.8570948351799
159,177.42720852536726
160,177.3825504824628
161,176.36173908017224
162,175.18544505781023
163,176.3312423553662
164,173.6860454304898
165,172.27958534793538
166,170.58773111328173
167,169.71290601857257
168,167.79132256823968
169,166.82280326547624
170,169.90400319753073
171,170.3714928696622
172,172.0962973258203
173,175.10463740879436
174,178.2608085015088
175,179.48521665506442
176,178.0635264691207
177,177.21371291919576
178,173.3547874307967
179,167.10829334279643
180,159.01363803246753
181,150.07678432303504
182,139.59865392849198
183,117.03510860613173
184,104.60439808684112
185,117.05028320343641
186,108.43834769177718
187,138.06890683902643
188,146.49752180026152
189,164.02632634781088
190,166.16858807991161
191,170.87049255132962
192,179.67111162397035
193,174.95771504827889
194,176.7545127352002
195,176.41238395199022
197,178.96088853049858
199,176.41477766200265
220,150.8918194454681
227,166.7402493607192
228,165.7050065632757
229,151.17478455174165
230,152.57524882404653
231,151.95419400854715
232,149.83141856124018
233,127.76473515239562
234,150.12122431581378
236,144.43893485648348
238,142.5913931068926
239,149.47201573269544
240,142.2895399998918
241,141.83215611918357
242,162.791506788656
243,165.6287403032965
244,165.53962198521668
245,157.35329524241183
246,146.44365878513878
247,132.18361929601747
248,117.47653880377837
249,116.02278267997087
250,131.278849841446
252,174.95608082968567
253,164.01286879416458
254,170.99142681029087
255,133.12684909843017
256,114.1350627874186
257,117.06921255958102
258,123.39411946388813
259,129.47388033785208
260,126.94822221602149
261,132.5678240509444
262,133.32239796368575
263,145.19606012898114
264,139.45790373799704
265,68.86529613515648
266,142.7731507537352
267,131.26339370690968
268,154.1396520034815
269,164.61671207512688
270,152.84259439030689
271,156.12856084245942
272,160.46421142452587
273,170.7057213918212
274,176.33525510271272
275,177.93190809122993
276,175.46642113835276
277,167.38294600523832
278,159.3084069760217
279,156.29440115930424
280,177.92025831269459
281,176.6638775341548
283,161.19941669064156
284,178.0930715873092
285,168.2539745366783
286,177.71731562663265
287,178.35226561044848
288,162.2749963126722
289,175.3608053648356
290,166.9989659047704
291,172.22097981841975
292,171.53114402275423
293,179.11999904902748
294,174.94133405863343
295,167.3850759373728
300,177.7277799774075
301,175.47311760868664
302,175.81601139799992
304,173.0158815335773
305,179.1179099340103
306,177.84337825637067
307,177.92136407461282
308,164.77314555781328
309,170.68638546229678
310,164.48039348299324
311,172.46936142791625
312,154.85626875199247
315,129.02078803448074
317,166.2283778423979
318,164.44325751731776
319,166.4465364038129
320,169.91414978786594
321,174.37848362501194
322,179.27110437557516
323,175.39535431956878
324,175.04708260355073
325,178.72186665031586
326,175.6960045536117
327,175.72886432561597
328,167.4045099804387
329,161.1018829868202
330,160.41880453413873
331,161.26584958289766
332,165.04685005494747
333,155.37181580244868
334,156.62215254082028
335,164.53316401317798
336,167.97699638571933
337,160.791637165948
339,123.41348865595378
340,165.7616962949244
341,156.43641830971023
342,178.1555436764661
343,174.29167859933966
344,171.99260575756907
345,170.6904839758233
346,155.6318473660425
347,137.43973374871368
348,142.15335477717107
349,138.4922579181
350,155.39127616615505
351,154.58498585535364
352,156.6731591521164
353,164.41180770084227
354,172.18337256655948
355,179.89037986114582
356,165.80337915545985
359,163.8531174202688
361,143.07939015448517
362,160.01423296978857
363,143.222419260713
364,159.14048539759415
365,152.92768579876835
366,168.05216876196616
383,171.08965885549432
397,172.22953758496686
398,174.96097894579972
419,173.3277371595955
420,170.38884718294662
421,172.73738509473972
422,177.7900497068995
