frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y
21,3.725846835073395,3.1718407927235437,-0.010080631,0.011572592,0.5499561,-0.7159811
26,22.503708378394172,20.011064576553512,-0.0051478017,-0.031390313,0.5169184,-0.80325836
27,62.1268013450022,57.80267461472829,-0.0044252146,0.0040873764,0.5258216,-0.74778813
32,107.23249378545633,105.04260079289483,-0.1530491,-0.096701324,-0.03704167,-0.9546995
37,136.43608111774174,142.01397848324694,-0.015523296,0.078707196,0.6484411,-0.5972247
38,146.00599316844756,161.17252380783924,-0.020057173,0.05796644,0.6027569,-0.6691302
41,146.06913720681965,165.95578068998822,-0.029034646,-0.010821978,0.5695053,-0.74488753
43,144.6570542165325,161.7095778060566,-0.0221574,0.05208867,0.5458097,-0.66145134
51,143.74128185578013,154.9022780219768,-0.18664186,-0.08149515,-0.05614859,-1.1337084
52,143.4992052689889,152.7230891070326,-0.15692423,-0.053140257,-0.058940563,-1.1343181
53,145.33690895288711,158.11410452083348,-0.12617236,-0.020275788,-0.09628822,-1.0894263
54,151.27550214068233,167.03047432018187,-0.12596108,0.009814886,-0.2986198,-0.96341276
55,160.23795931966382,172.84746274211446,-0.13541189,0.021704096,-0.433563,-0.94320965
56,167.48569601301884,172.63875038430223,-0.13306263,0.022283891,-0.46742076,-0.9297975
57,169.86267256304353,168.42882521595612,-0.14257674,0.03842944,-0.57696474,-0.91459936
58,168.83179953923096,163.767093812304,-0.14645816,0.03997358,-0.6216807,-0.8945014
59,167.5246665047298,160.7358907906814,-0.14984989,0.0443393,-0.64757,-0.8819957
60,167.57927266175707,160.07904250168798,-0.14461963,0.038513042,-0.6355056,-0.8813907
61,169.03255581490384,161.5500149631733,-0.14573081,0.039806306,-0.67894715,-0.8544602
62,170.82411933853672,163.48170758418908,-0.14765793,0.044997673,-0.6643079,-0.8799075
63,171.4216077252271,164.41895628905147,-0.15096597,0.04379752,-0.6598991,-0.8843965
64,170.4047714309229,164.65258323795658,-0.14693858,0.036851957,-0.6598044,-0.88433695
65,168.84775222472706,164.74327619624273,-0.12914619,0.033156946,-0.5746604,-0.90297
66,167.71457745096328,163.91311182657432,-0.121530004,0.02509922,-0.5449496,-0.8969338
67,166.8180589184535,160.9881812042268,-0.14030327,0.008211772,-0.5693234,-0.9440901
