frame,right_knee_angle
0,170.08734012610174
1,169.81792697978608
2,166.94205694781678
3,166.60992953582883
4,166.7271264312189
5,166.56745971117266
6,173.2346578401969
7,173.2822635398367
8,173.08222144518868
9,173.21141523928776
10,175.14384414665102
11,174.61525613237006
12,175.21084209601952
13,175.7571591204155
14,165.97833205418289
15,165.22411775955356
16,166.03803696828305
17,166.88656578824947
18,165.06306778241117
19,165.59838333039326
20,165.26339530857734
21,165.0577272439796
22,168.65878507259507
23,169.10278338396864
24,167.20181375411622
25,170.6630246580724
26,165.63374055087056
27,166.48156444295614
28,165.62981527964843
29,166.59852595156678
30,166.0644337620346
31,165.48723161577587
32,165.71879585753456
33,166.9858241265055
34,162.18124384023383
35,162.04490043046775
36,162.20588904499317
37,162.34220162878154
38,161.41705844919255
39,161.46962669062827
40,162.3030484965845
41,161.60536245276842
42,167.16188306333612
43,167.26012088044038
44,166.91474408236385
45,167.0437737028342
46,170.52937915202313
47,170.4858511950646
48,170.42520998663775
49,171.45381080854463
50,176.0142488814642
51,175.76788353257794
52,175.8951398186083
53,176.16324622785507
54,177.17956059974574
55,176.87710163741195
56,177.02785073232457
57,176.78361259831243
58,176.03148737707264
59,176.02116769116222
60,176.02676985080197
61,175.83149099236215
62,171.70469044738783
63,171.73497075407514
64,171.38455433319737
65,171.96776048806512
66,162.28465398571913
67,161.9126499279858
68,162.37283490305597
69,162.716379039647
70,140.42632667054693
71,140.45766013714953
72,140.48570189232385
73,141.08342301637157
74,118.24365543583448
75,116.73309023363558
76,117.33272820066611
77,117.68498960467485
78,78.46940804102249
79,78.40511106082744
80,79.11161832093148
81,78.40227375836568
82,56.155011485474354
83,56.155011485474354
84,56.35614055532189
85,56.60004245979138
86,29.409981267282674
87,29.338872969947833
88,29.358098873970082
89,29.358098873970082
90,15.30204745954676
91,15.243579371793672
92,15.107332191511654
93,14.997743566526053
94,16.83775293482058
95,16.56077469705583
96,16.98943806108888
97,16.582326430943567
98,69.5638582803175
99,68.44861718365856
100,71.37951396510447
101,70.10139905217893
102,81.75026825493285
103,81.13555817267041
104,67.72398320927876
105,67.1838106669316
106,144.78157104652388
107,144.39818016452796
108,145.12320013575786
109,146.04170242897757
110,148.47654722159604
111,143.69140377598038
112,143.4039465413915
113,143.4039465413915
114,149.7181170337623
115,149.77745665969067
116,149.48583576329418
117,149.19637303200716
118,156.9317190756737
119,155.6241763315867
120,158.47572163540337
121,158.2001521242573
122,146.9817743479774
123,147.5874043444599
124,147.7353231658972
125,147.84914838871214
126,152.04698445890716
127,151.89692206370523
128,151.76606410455793
129,151.8652927443187
130,147.79565209175308
131,149.9756641849028
132,149.6576152955911
133,149.0680165263492
134,150.28523717700378
135,149.93800698017307
136,149.90362019799946
137,149.89771186317884
138,151.64708870942545
139,151.71840046722804
140,151.59633248656823
141,151.91049840041825
142,155.17901746498777
143,155.17901746498777
144,155.06656954143554
145,154.93123447116167
146,154.88567273944756
147,155.05007565300005
148,155.65427057142972
149,154.89554523913762
150,154.30286178016428
151,154.18247188152827
152,154.40176850257893
153,154.3749616988997
154,157.88858574709403
155,158.00179474636641
