frame,right_knee_angle,left_knee_angle,right_hip_x,right_hip_y,right_shoulder_x,right_shoulder_y,right_knee_filtered,left_knee_filtered
507,177.46378611938584,169.57064362330811,303.2456588745117,193.31581592559814,286.45946502685547,190.60285806655884,167.75684148560873,165.3747672160799
508,176.50482088241193,167.41043473445566,290.4458999633789,193.57671976089478,280.196475982666,196.95304155349731,171.03621179682264,161.58523635496906
563,95.69475573796049,80.3057124004931,61.961021423339844,145.16567945480347,97.60412216186523,134.75598335266113,172.98422425702802,160.54305491696581
564,129.06514864232093,126.44004521625489,66.42407894134521,148.30923914909363,99.30459976196289,141.91748142242432,165.3932747263582,153.58643837578515
565,179.8683614959621,174.2920394029987,88.32154273986816,147.89042830467224,101.73210144042969,141.093989610672,146.61036344418216,136.7307463308292
566,148.4106676238656,159.66630790717977,102.90369033813477,147.66254782676697,105.11638641357422,140.6386363506317,131.69471864286015,124.43348561105424
567,164.3205808032622,164.26740229192453,100.37919998168945,148.12153816223145,104.69862937927246,140.2829110622406,135.18460065513727,131.92471890531297
568,147.6731607691581,169.4264297200455,94.88711357116699,150.23757576942444,100.38537979125977,139.94236707687378,151.18926234590927,153.1699462950662
569,170.15481113063257,168.42180865832609,93.50462913513184,155.3077232837677,106.44121170043945,141.27536058425903,163.50652694945848,170.62180631794328
570,175.94381133509313,172.16732453469797,93.2547378540039,158.60756993293762,110.86627006530762,143.68351221084595,165.93404442128465,175.8248168478706
571,179.6522755441684,177.99644929460422,90.68540573120117,160.7166874408722,111.74698829650879,144.54809546470642,164.92828953986944,172.9705987789545
572,174.4656133117568,123.73235854792328,90.28940200805664,159.68921899795532,111.31571769714355,143.5384476184845,167.7591453276362,168.83087628659587
573,172.50784626860593,118.61949174432911,91.89519882202148,160.07266759872437,113.77202987670898,141.41655206680298,173.85904259418263,162.7455932524792
574,172.68594301609426,126.03633450205618,94.15127754211426,159.56525802612305,114.45135116577148,138.6232352256775,177.92920454701604,149.5960041118023
575,175.07918042575173,130.06189937657516,94.40166473388672,159.93715167045593,115.0794506072998,138.66596817970276,177.37123207588246,131.92240778890903
576,175.2773247604825,151.25423054175155,102.68815040588379,159.06294465065002,120.02973556518555,138.63075613975525,174.44793332739965,120.61437459309879
577,168.60339493868793,159.30910875781868,108.51604461669922,156.6526472568512,123.53033065795898,138.33365321159363,172.53034214035156,123.3320962715742
578,177.46647063231345,157.85119404733092,116.43884658813477,156.2492859363556,129.65049743652344,138.35394144058228,172.4275540319238,137.59587311398144
579,158.47460404544364,176.13302240235396,119.11598205566406,163.16463232040405,130.7636833190918,143.36326718330383,172.70654742742718,154.2112029979245
580,170.0174095061828,176.13727504255496,121.48519515991211,172.3448145389557,138.31575393676758,150.33351302146912,171.6583301285738,165.90268019470582
581,176.92123943275564,134.47801246437544,132.11894035339355,175.78606724739075,149.88759994506836,162.06576347351074,169.23434730588588,170.9039492008683
582,159.21214583033105,172.9684288314237,134.4196319580078,182.95079469680786,157.54213333129883,167.41129875183105,167.57334136649098,169.13673033318395
583,174.717057022282,178.54143875066967,136.99129104614258,177.11262345314026,156.96212768554688,158.23605179786682,167.85285928190322,163.10319846834048
584,153.01795696960224,178.25863282512822,141.86902046203613,182.50496864318848,160.35844802856445,158.7218427658081,168.40730768912383,160.46791465102342
585,159.91740765174936,170.4742864265999,142.3592185974121,177.9618537425995,156.33837699890137,149.11439538002014,167.04854355700041,165.89858496774966
