frame,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y
663,-0.011934816837310791,0.002958059310913086,-0.024354398250579834,-0.08473184704780579
664,-0.015632957220077515,-7.620453834533691e-05,-0.026437833905220032,-0.0980614721775055
665,-0.016898974776268005,-0.00368615984916687,-0.021216362714767456,-0.10618618130683899
666,-0.016332976520061493,-0.00464966893196106,-0.021368660032749176,-0.1263684332370758
667,-0.018641270697116852,-0.01253509521484375,-0.0013560429215431213,-0.14210885763168335
668,-0.01762811839580536,-0.013663679361343384,-0.004691869020462036,-0.13248702883720398
669,-0.018353991210460663,-0.012855350971221924,-0.00949002057313919,-0.14516082406044006
670,-0.015830419957637787,-0.014687001705169678,0.010711602866649628,-0.16713091731071472
671,-0.012790143489837646,-0.011502742767333984,0.019178658723831177,-0.15241700410842896
672,-0.012518540024757385,-0.0068318843841552734,0.010251626372337341,-0.15959715843200684
673,-0.013474881649017334,-0.012187272310256958,0.0044519007205963135,-0.16768258810043335
674,0.0022909194231033325,0.005187183618545532,0.04574127495288849,-0.12509840726852417
675,-0.0033004432916641235,0.012996703386306763,0.039023980498313904,-0.11789491772651672
692,0.001298755407333374,0.009446114301681519,-0.06796696782112122,0.021517127752304077
693,-0.009452730417251587,-0.025829732418060303,0.09841272234916687,-0.16266727447509766
694,0.00044974684715270996,-0.0023190975189208984,0.005238264799118042,0.21904689073562622
