frame,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y
662,-0.01563422381877899,-7.557868957519531e-05,-0.031813234090805054,-0.1111074686050415
663,-0.017775744199752808,-0.00345611572265625,-0.024531438946723938,-0.09383818507194519
664,-0.01746537536382675,-0.00680115818977356,-0.016585595905780792,-0.11319613456726074
675,-0.016003817319869995,-0.006769895553588867,-0.009054780006408691,-0.12623023986816406
676,-0.013472065329551697,-0.01011282205581665,5.786120891571045e-05,-0.13923829793930054
677,-0.015864044427871704,-0.0046272873878479,-0.004020959138870239,-0.14281004667282104
678,-0.0092344731092453,0.003279358148574829,0.004681691527366638,-0.1820305585861206
679,-0.01462244987487793,-0.003642529249191284,0.02444535493850708,-0.14646196365356445
680,-0.017413198947906494,-0.008473575115203857,-0.0033322572708129883,-0.1671849489212036
681,-0.017004862427711487,-0.005636423826217651,0.02049337327480316,-0.17094382643699646
682,-0.013972729444503784,-0.020469844341278076,0.024378567934036255,-0.143513023853302
683,-0.01573982834815979,-0.010431736707687378,0.05629655718803406,-0.1471593677997589
684,-0.01621297001838684,-0.007551968097686768,0.06524202227592468,-0.20624029636383057
685,-0.017830967903137207,-0.001867830753326416,0.016873538494110107,-0.17859399318695068
686,-0.007950633764266968,0.0022066235542297363,0.05325201153755188,-0.16732880473136902
687,-0.0011678040027618408,-0.0012789666652679443,0.10929372906684875,-0.08861044049263
688,-0.008236020803451538,0.007728248834609985,0.09086444973945618,-0.12002256512641907
689,-0.005869448184967041,-0.000751495361328125,0.09324425458908081,-0.11711323261260986
690,-0.01071155071258545,-0.004052639007568359,0.08852022886276245,-0.11270231008529663
691,-0.014619946479797363,-0.011203795671463013,0.06925797462463379,-0.12067428231239319
692,-0.004855453968048096,-0.01588323712348938,0.10034757852554321,-0.1329217255115509
