frame,timestamp_sec,mse_loss
223,7.433333333333334,28544.361328125
224,7.466666666666667,28661.134765625
225,7.5,28802.501953125
226,7.533333333333333,28956.068359375
227,7.566666666666666,29051.052734375
228,7.6,29111.59375
229,7.633333333333334,29135.169921875
230,7.666666666666667,29129.560546875
231,7.7,29021.9296875
232,7.733333333333333,28920.556640625
233,7.766666666666667,28811.787109375
234,7.8,28763.63671875
235,7.833333333333333,28711.76953125
236,7.866666666666666,28685.30859375
237,7.9,28667.482421875
238,7.933333333333334,28632.3046875
239,7.966666666666667,28613.427734375
240,8.0,28547.189453125
1055,35.166666666666664,28564.537109375
1195,39.833333333333336,28490.841796875
1196,39.86666666666667,28621.76171875
1197,39.9,28760.64453125
1198,39.93333333333333,28868.021484375
1199,39.96666666666667,28908.353515625
1200,40.0,28895.025390625
1201,40.03333333333333,28895.345703125
1202,40.06666666666667,28813.072265625
1203,40.1,28756.6875
1204,40.13333333333333,28746.533203125
1205,40.166666666666664,28782.26953125
1206,40.2,28826.970703125
1207,40.233333333333334,28966.060546875
1208,40.266666666666666,29058.955078125
1209,40.3,29172.5234375
1210,40.333333333333336,29371.84765625
1211,40.36666666666667,29494.25
1212,40.4,29645.978515625
1213,40.43333333333333,29721.06640625
1214,40.46666666666667,29806.90234375
1215,40.5,29832.146484375
1216,40.53333333333333,29801.826171875
1217,40.56666666666667,29780.34765625
1218,40.6,29725.357421875
1219,40.63333333333333,29722.056640625
1220,40.666666666666664,29663.69921875
1221,40.7,29619.0859375
1222,40.733333333333334,29545.291015625
1223,40.766666666666666,29407.708984375
1224,40.8,29236.125
1225,40.833333333333336,29079.541015625
1226,40.86666666666667,28916.158203125
1227,40.9,28776.3671875
1228,40.93333333333333,28668.40625
1229,40.96666666666667,28618.162109375
1230,41.0,28593.494140625
1231,41.03333333333333,28598.58203125
1232,41.06666666666667,28562.814453125
1492,49.733333333333334,28519.193359375
1502,50.06666666666667,28492.103515625
1503,50.1,28527.337890625
1504,50.13333333333333,28583.75390625
1505,50.166666666666664,28688.65234375
1506,50.2,28699.517578125
1507,50.233333333333334,28710.1328125
1508,50.266666666666666,28709.30078125
1509,50.3,28652.634765625
1510,50.333333333333336,28605.833984375
1511,50.36666666666667,28512.5078125
1950,65.0,28574.763671875
1951,65.03333333333333,28712.78515625
1952,65.06666666666666,28824.138671875
1953,65.1,29034.310546875
1954,65.13333333333334,29110.470703125
1955,65.16666666666667,29179.767578125
1956,65.2,29198.1171875
1957,65.23333333333333,29214.7265625
1958,65.26666666666667,29160.205078125
1959,65.3,29076.251953125
1960,65.33333333333333,29062.4140625
1961,65.36666666666666,28983.4375
1962,65.4,28908.791015625
1963,65.43333333333334,28715.1953125
1964,65.46666666666667,28518.287109375
2054,68.46666666666667,28525.376953125
2055,68.5,28574.72265625
2056,68.53333333333333,28629.533203125
2057,68.56666666666666,28661.685546875
2058,68.6,28744.189453125
2059,68.63333333333334,28832.548828125
2060,68.66666666666667,28937.767578125
2061,68.7,29074.306640625
2062,68.73333333333333,29186.845703125
2063,68.76666666666667,29228.69140625
2064,68.8,29240.8359375
2065,68.83333333333333,29278.615234375
2066,68.86666666666666,29327.419921875
2067,68.9,29474.87109375
2068,68.93333333333334,29545.818359375
2069,68.96666666666667,29638.3046875
2070,69.0,29781.20703125
2071,69.03333333333333,29841.876953125
2072,69.06666666666666,29866.5078125
2073,69.1,29862.84375
2074,69.13333333333334,29858.375
2075,69.16666666666667,29861.423828125
2076,69.2,29862.626953125
2077,69.23333333333333,29926.345703125
2078,69.26666666666667,29940.85546875
2079,69.3,29973.26171875
2080,69.33333333333333,29978.48828125
2081,69.36666666666666,29956.162109375
2082,69.4,29919.111328125
2083,69.43333333333334,29927.177734375
2084,69.46666666666667,29900.669921875
2085,69.5,29862.19140625
2086,69.53333333333333,29814.212890625
2087,69.56666666666666,29748.712890625
2088,69.6,29674.095703125
2089,69.63333333333334,29568.37109375
2090,69.66666666666667,29463.55078125
2091,69.7,29359.99609375
2092,69.73333333333333,29287.951171875
2093,69.76666666666667,29231.87890625
2094,69.8,29151.744140625
2095,69.83333333333333,29117.375
2096,69.86666666666666,29074.03515625
2097,69.9,29010.72265625
2098,69.93333333333334,28944.658203125
2099,69.96666666666667,28927.302734375
2100,70.0,28878.470703125
2101,70.03333333333333,28833.310546875
2102,70.06666666666666,28801.5625
2103,70.1,28660.103515625
2142,71.4,28552.48046875
2143,71.43333333333334,28665.716796875
2144,71.46666666666667,28826.455078125
2145,71.5,28966.927734375
2146,71.53333333333333,29021.36328125
2147,71.56666666666666,29116.833984375
2148,71.6,29177.6171875
2149,71.63333333333334,29184.5078125
2150,71.66666666666667,29200.798828125
2151,71.7,29166.255859375
2152,71.73333333333333,29148.427734375
2153,71.76666666666667,29093.66015625
2154,71.8,29028.462890625
2155,71.83333333333333,28954.908203125
2156,71.86666666666666,28852.677734375
2157,71.9,28753.435546875
2158,71.93333333333334,28621.84375
2159,71.96666666666667,28521.146484375
2197,73.23333333333333,28539.541015625
2198,73.26666666666667,28632.556640625
2199,73.3,28719.814453125
2200,73.33333333333333,28965.416015625
2201,73.36666666666666,29140.05078125
2202,73.4,29207.798828125
2203,73.43333333333334,29180.21484375
2204,73.46666666666667,29090.841796875
2205,73.5,29048.78515625
2206,73.53333333333333,28988.666015625
2207,73.56666666666666,28971.775390625
2208,73.6,28880.767578125
2209,73.63333333333334,28780.37109375
