segment,frame_range,n_frames,torso_lean_mean,torso_lean_std,velocity_mean,velocity_std,acceleration_mean
REST (held start position),155-169,10,-50.474963558436954,23.08338051982279,0.008147544557052192,0.005944741039079636,0.005299987224758246
EARLY-ACCELERATION (post-gun),193-245,53,40.50936343126788,21.13110297217904,0.019600695415220585,0.011516877589086998,0.011676763708549474
"CRUISE (Sven Kramer, separate clip)",400-500,101,56.35175921130135,2.543692510685512,0.010918213230051608,0.008651403326929031,0.00898649907362989
