phase,metric,n_skaters,mean,std
start_rest,torso_lean_angle_deg,3,-50.96994884950982,26.681075741736848
start_rest,hip_velocity,3,0.01627226826854383,0.012446629795087327
start_rest,hip_acceleration_abs,3,0.011573374115747779,0.00874790663519183
start_rest,right_knee_filtered,3,141.59623667261965,24.62673813290703
start_rest,left_knee_filtered,3,138.01928552182355,34.80537646881488
start_acceleration,torso_lean_angle_deg,3,-13.607097223167251,50.91511929409435
start_acceleration,hip_velocity,3,0.027946594429153423,0.02181521049480661
start_acceleration,hip_acceleration_abs,3,0.0175876494990864,0.01252760958885866
start_acceleration,right_knee_filtered,3,121.35641009035517,24.488042542612334
start_acceleration,left_knee_filtered,3,117.4732919412573,20.63243649794893
corner,torso_lean_angle_deg,3,-15.557888111195675,51.783472098426145
corner,hip_velocity,3,0.026038771973306618,0.013211793470695716
corner,hip_acceleration_abs,3,0.019740596331943555,0.01139760088093799
corner,right_knee_filtered,3,149.11034773676758,8.640441494031442
corner,left_knee_filtered,3,139.02842543377605,9.408258906796862
straightaway,torso_lean_angle_deg,3,0.5858504353344477,50.32539629212413
straightaway,hip_velocity,3,0.02059163539931883,0.018893019978444142
straightaway,hip_acceleration_abs,3,0.017292038698950327,0.016098194747195545
straightaway,right_knee_filtered,3,134.50726553397115,16.506664041641404
straightaway,left_knee_filtered,3,133.90430751746337,10.11210874395632
