phase,n_frames,torso_lean_mean,torso_lean_std,velocity_mean,velocity_std,acceleration_mean_abs,right_knee_mean,left_knee_mean
corner,55,-23.847338250538105,82.90762027738472,0.014450606104465157,0.012167820726203059,0.011973285593502317,146.47752957215667,132.30662413535808
start,80,21.827993449634018,35.929444098353656,0.016368075774267153,0.012919257811643622,0.010974191388808808,128.51988051175726,116.60476892922281
straightaway,90,-14.746105716156064,26.171880774651136,0.012492484621473688,0.013838195401606383,0.01025297355459278,150.461651606667,148.4470222985961
