condition,n_skaters,mean_separability_gap,std_separability_gap,variance_separability_gap,pct_skaters_with_positive_gap
unscaled,7,0.1288474776915141,0.29192898916621035,0.08522253471560536,71.42857142857143
scaled,7,0.4048756510019303,0.9968231195074346,0.9936563315845334,71.42857142857143
zscore_only,7,0.29564919216292246,0.47513409082774705,0.22575240426670976,57.14285714285714
