condition,n_skaters,mean_held_out_loss,std_held_out_loss,variance_held_out_loss
unscaled,7,0.2719643680112703,0.166172085888687,0.02761316212859717
scaled,7,0.3849291301199368,0.4493499383797806,0.2019153671219126
zscore_only,7,0.28761051861303194,0.2561070550574743,0.06559082365021217
