frame,right_knee_angle,left_knee_angle,right_hip_x,right_hip_y,right_shoulder_x,right_shoulder_y,right_knee_filtered,left_knee_filtered
1,118.23927958768401,179.91994188282408,357.8496551513672,185.9963893890381,350.09735107421875,139.51703310012817,5.5079293217934415,8.38119385476196
2,154.3334114636951,174.29261969081563,366.80213928222656,175.65235376358032,356.2354278564453,138.65237474441528,33.52874125789751,48.19872371703832
3,166.8284195823332,153.86872044673325,369.6607208251953,176.86726570129395,365.6040954589844,140.05388259887695,92.05351807983493,121.92800120811302
4,167.45796661491954,160.70307029592254,369.4121551513672,175.1386570930481,363.5892105102539,139.7229301929474,154.25555546246878,182.5119890095738
5,163.53553979040194,165.0314907503363,368.58924865722656,172.78730392456055,357.19554901123047,138.6597454547882,183.7210242949484,189.88067650467218
6,153.5893476555982,149.584372614056,370.5384826660156,175.74141383171082,362.95997619628906,138.83538722991943,177.30822216996,164.64654669096385
7,143.27613010538772,174.34059365901834,371.0314178466797,176.26893997192383,362.35591888427734,139.27453994750977,159.12635472620337,148.55384847109895
8,165.96151565640236,178.17558743262876,377.71610260009766,176.4155387878418,365.98541259765625,143.66458654403687,148.42973225581954,154.24681908459172
9,160.24577000687344,176.9361238985886,380.7071304321289,176.73557996749878,367.9396438598633,145.669527053833,149.41052739111123,169.7098414180674
10,170.7052230086125,165.69912732555872,377.98484802246094,176.91174745559692,364.4837188720703,146.72361373901367,157.70055079219927,179.96334088246255
11,167.19385521113034,170.24136021822437,378.12255859375,177.08087682724,364.21566009521484,146.28325939178467,166.04522910949544,178.6318448129527
12,167.92516585484873,167.31211959603928,377.9680633544922,177.11500525474548,361.07643127441406,143.61345291137695,169.73076677294932,170.7884724206456
13,170.56644789831628,170.99155617785055,378.2135009765625,175.5822193622589,361.9264602661133,147.67757892608643,169.3844088065164,165.71051908649287
14,133.49022980056031,171.5231746314113,383.2111358642578,178.6999225616455,368.7160110473633,147.1616506576538,166.68450986351624,166.73489929290633
15,132.61486117447882,157.22965282457022,382.3746871948242,180.22676467895508,361.8815231323242,146.9792926311493,158.99205259876487,169.7236678854312
16,141.03944532583986,160.31117878734207,379.42596435546875,176.17045998573303,359.78870391845703,142.66601085662842,145.030262260876,168.85116791667383
17,119.48313882229108,162.3110036082847,384.34478759765625,182.4112629890442,362.36610412597656,143.39475631713867,132.3942591653294,163.41935985563595
18,134.521285440979,168.7979827910925,384.1254425048828,181.92627668380737,359.6433639526367,143.25412273406982,127.82983413242103,159.17709304673195
19,130.28353254464434,174.8224646253422,383.89183044433594,190.23138284683228,360.04772186279297,144.1190493106842,128.64217061614306,161.260011630148
20,156.99655808810354,177.25516623820627,388.9370346069336,182.86949157714844,363.20323944091797,144.13145184516907,131.52711525379948,168.372866910583
21,174.47916959879842,173.97977829443172,396.35589599609375,180.8896780014038,373.2470703125,148.95407438278198,139.18317608700235,175.19452430045988
22,163.21955113584622,166.69993463318346,396.2728500366211,180.8611822128296,371.6638946533203,148.4272027015686,153.60528669915217,177.35663491819238
23,161.7921843625853,169.70186472374309,396.49879455566406,180.72237253189087,370.9880828857422,145.6863284111023,167.68324169546494,174.24747944093463
