Multiplier,Threshold_Value,First_Flag_Frame,Total_Flags
1.0,0.6321065331835822,3,39
1.5,0.7655789537860718,6,30
2.0,0.8990513743885612,13,25
2.5,1.0325237949910506,74,20
3.0,1.1659962155935402,74,19
