Stride_Index,Start_Frame,End_Frame,Duration,Avg_Anomaly_Score,Max_Anomaly_Score,Is_Fatigued,Anomaly_Trend
1,6,29,23,108.38773324090904,111.70611987309312,False,108.38773324090904
2,29,52,23,105.5463628056162,125.19462026279244,False,106.96704802326262
